,user_id,monthly_income,monthly_outcome,class,institution,account_type,credit_type,total_credit_payments,payment_frequency,amount_to_pay_next_payment,account_opening_date,maximum_credit_amount,current_balance,credit_limit,worst_delinquency_date,worst_delinquency_estimated,worst_delinquency_past_due_estimated,payments_per_year,loan_term,loan_amount,_has_account_closing_date
3288,168,213606,12744,0,COMUNICACIONES,Sin Límite Preestablecido,Línea de Crédito,1.0,Mensual,309.0,7/28/17,507.0,309.0,0.0,Missing,2.0,309.0,12,0.08333333333333333,154.5,0
3289,168,213606,12744,0,COMUNICACIONES,Sin Límite Preestablecido,Línea de Crédito,1.0,Mensual,0.0,5/28/10,4166.0,0.0,0.0,No,0.0,0.0,12,0.08333333333333333,4166.0,0
3291,168,213606,12744,0,BANCO,Pagos Fijos,Préstamo Personal ,6.0,Mensual,0.0,12/20/11,42602.0,0.0,0.0,Missing,20.0,37456.0,12,0.5,11236.8,1
3292,168,213606,12744,0,BANCO,Pagos Fijos,Préstamo Personal ,47.0,Mensual,0.0,11/24/10,50000.0,0.0,0.0,No,0.0,0.0,12,3.9166666666666665,50000.0,1
3425,176,6230,23209,0,TIENDA DEPARTAMENTAL,Pagos Fijos,Aparatos - Muebles,12.0,Mensual,0.0,11/8/09,5100.0,0.0,5100.0,No,0.0,0.0,12,1.0,5100.0,1
3426,176,6230,23209,0,TIENDA DEPARTAMENTAL,Pagos Fijos,Aparatos - Muebles,12.0,Mensual,0.0,11/8/09,5100.0,0.0,5100.0,No,0.0,0.0,12,1.0,5100.0,1
3427,176,6230,23209,0,TIENDA DEPARTAMENTAL,Pagos Fijos,Aparatos - Muebles,12.0,Mensual,0.0,2/20/10,5100.0,0.0,5100.0,No,0.0,0.0,12,1.0,5100.0,1
3428,176,6230,23209,0,TIENDA DEPARTAMENTAL,Pagos Fijos,Aparatos - Muebles,12.0,Mensual,7463.0,9/16/13,7463.0,7463.0,7203.0,1/31/17,23.0,7463.0,12,1.0,3893.739130434782,0
3429,176,6230,23209,0,TIENDA DEPARTAMENTAL,Pagos Fijos,Aparatos - Muebles,12.0,Mensual,0.0,9/16/13,5523.0,0.0,5523.0,No,0.0,0.0,12,1.0,5523.0,1
3430,176,6230,23209,0,ADMINISTRADORAS DE CARTERA,Pagos Fijos,Tarjeta de Crédito,18.0,Mensual,366.0,12/24/10,4179.0,4179.0,5100.0,No,0.0,0.0,12,1.5,6588.0,0
3432,177,502,49,0,TIENDA DEPARTAMENTAL,Pagos Fijos,Aparatos - Muebles,12.0,Mensual,4301.0,1/15/14,4301.0,4301.0,14406.0,1/31/17,20.0,4301.0,12,1.0,2580.6000000000004,0
3433,177,502,49,0,GUBERNAMENTALES,Pagos Fijos,Crédito Fiscal,1.0,Mensual,2523.0,2/5/14,2523.0,2523.0,0.0,Missing,17.0,2523.0,12,0.08333333333333333,148.41176470588235,0
3434,177,502,49,0,MERCANCIA PARA HOGAR Y OFICINA,Pagos Fijos,Arrendamiento,52.0,Semanal,0.0,2/14/10,4373.0,0.0,0.0,No,0.0,0.0,52,1.0,4373.0,1
3435,177,502,49,0,MERCANCIA PARA HOGAR Y OFICINA,Pagos Fijos,Préstamo Personal ,80.0,Semanal,294.0,10/26/17,11760.0,11008.0,0.0,12/7/17,2.0,147.0,52,1.5384615384615385,5880.0,0
3436,177,502,49,0,MERCANCIA PARA HOGAR Y OFICINA,Pagos Fijos,Préstamo Personal ,80.0,Semanal,60.0,10/26/17,2400.0,2250.0,0.0,12/7/17,2.0,30.0,52,1.5384615384615385,1200.0,0
3439,178,116716,89631,1,KONFIO,Pagos Fijos,Préstamo Personal ,24.0,Quincenal,5116.0,6/30/17,100000.0,90642.0,0.0,No,0.0,0.0,24,1.0,122784.0,0
3442,178,116716,89631,1,AUTOMOTRIZ,Pagos Fijos,Compra de Automóvil,48.0,Mensual,4498.0,7/1/16,138197.0,112283.0,0.0,No,0.0,0.0,12,4.0,215904.0,0
3443,178,116716,89631,1,AUTOMOTRIZ,Pagos Fijos,Compra de Automóvil,60.0,Mensual,3990.0,6/29/16,143944.0,125077.0,0.0,No,0.0,0.0,12,5.0,239400.0,0
3564,185,2000,89,0,COMUNICACIONES,Sin Límite Preestablecido,Línea de Crédito,1.0,Mensual,0.0,6/13/17,317.0,0.0,0.0,No,0.0,0.0,12,0.08333333333333333,317.0,0
3584,188,43182,760,1,FINANCIERA,Pagos Fijos,Préstamo Personal ,1.0,Mensual,0.0,12/9/09,7721.0,0.0,0.0,No,0.0,0.0,12,0.08333333333333333,7721.0,1
3619,191,12072,90936,1,AUTOMOTRIZ,Pagos Fijos,Arrendamiento Automotriz,36.0,Mensual,4366.0,1/22/17,152826.0,152826.0,152826.0,No,0.0,0.0,12,3.0,157176.0,0
3620,191,12072,90936,1,AUTOMOTRIZ,Pagos Fijos,Arrendamiento Automotriz,36.0,Mensual,4453.0,3/22/16,155868.0,111334.0,155868.0,No,0.0,0.0,12,3.0,160308.0,0
3624,191,12072,90936,1,AUTOMOTRIZ,Pagos Fijos,Compra de Automóvil,36.0,Mensual,0.0,7/22/09,106510.0,0.0,106510.0,No,0.0,0.0,12,3.0,106510.0,1
3625,191,12072,90936,1,BANCO,Pagos Fijos,Préstamo Personal ,72.0,Quincenal,0.0,7/1/09,160000.0,0.0,0.0,No,0.0,0.0,24,3.0,160000.0,1
3682,194,16463,16568,1,SOCIEDAD FINANCIERA DE OBJETO MULTIPLE,Pagos Fijos,Préstamo Personal ,1.0,Mensual,0.0,10/6/16,1000.0,0.0,0.0,No,0.0,0.0,12,0.08333333333333333,1000.0,1
3683,194,16463,16568,1,SOCIEDAD FINANCIERA DE OBJETO MULTIPLE,Pagos Fijos,Préstamo Personal ,1.0,Mensual,0.0,11/12/16,1000.0,0.0,0.0,12/31/16,1.0,1754.0,12,0.08333333333333333,1754.0,1
3687,194,16463,16568,1,FINANCIERA,Pagos Fijos,Préstamo Personal ,1.0,Mensual,2346.0,10/18/16,2000.0,2346.0,0.0,No,0.0,0.0,12,0.08333333333333333,2346.0,0
3688,194,16463,16568,1,FINANCIERA,Pagos Fijos,Préstamo Personal ,1.0,Mensual,0.0,9/19/16,1500.0,0.0,0.0,No,0.0,0.0,12,0.08333333333333333,1500.0,1
3689,194,16463,16568,1,FINANCIERA,Pagos Fijos,Préstamo Personal ,1.0,Mensual,0.0,8/16/16,2000.0,0.0,0.0,No,0.0,0.0,12,0.08333333333333333,2000.0,1
3690,194,16463,16568,1,FINANCIERA,Pagos Fijos,Préstamo Personal ,1.0,Mensual,0.0,8/1/16,1000.0,0.0,0.0,No,0.0,0.0,12,0.08333333333333333,1000.0,1
3691,194,16463,16568,1,FINANCIERA,Pagos Fijos,Préstamo Personal ,1.0,Mensual,0.0,6/10/16,2000.0,0.0,0.0,No,0.0,0.0,12,0.08333333333333333,2000.0,1
3693,195,4424,2804,1,SOCIEDAD FINANCIERA DE OBJETO MULTIPLE,Pagos Fijos,Préstamo Personal ,1.0,Mensual,0.0,5/10/17,1500.0,0.0,0.0,No,0.0,0.0,12,0.08333333333333333,1500.0,1
3694,195,4424,2804,1,AUTOMOTRIZ,Pagos Fijos,Compra de Automóvil,60.0,Mensual,2974.0,8/19/16,170739.0,114692.0,170739.0,No,0.0,0.0,12,5.0,178440.0,0
3696,195,4424,2804,1,BANCO,Pagos Fijos,Préstamo de Nomina,72.0,Quincenal,1682.0,6/1/15,74769.0,70092.0,71300.0,No,0.0,0.0,24,3.0,121104.0,0
3699,195,4424,2804,1,BANCO,Pagos Fijos,Préstamo de Nomina,19.0,Quincenal,452.0,3/7/17,11100.0,10804.0,0.0,No,0.0,0.0,24,0.7916666666666666,8588.0,0
3704,195,4424,2804,1,BANCO,Pagos Fijos,Préstamo de Nomina,72.0,Quincenal,0.0,8/1/14,60000.0,0.0,60000.0,No,0.0,0.0,24,3.0,60000.0,1
3797,201,196702,98401,0,AUTOMOTRIZ,Pagos Fijos,Arrendamiento Automotriz,36.0,Mensual,6365.0,2/13/17,249135.0,204368.0,249135.0,No,0.0,0.0,12,3.0,229140.0,0
3896,208,27,1385,1,BANCOS,Pagos Fijos,Préstamo Personal ,12.0,Catorcenal,0.0,2/11/16,6231.0,0.0,6231.0,No,0.0,0.0,26,0.46153846153846156,6231.0,1
3897,208,27,1385,1,BANCOS,Pagos Fijos,Préstamo Personal ,12.0,Catorcenal,0.0,7/28/16,9231.0,0.0,0.0,12/31/16,1.0,1000.0,26,0.46153846153846156,12000.0,1
3951,212,96948,58916,1,BANCO,Pagos Fijos,Préstamo Personal ,119.0,Quincenal,0.0,7/17/13,26000.0,0.0,0.0,Missing,5.0,8767.0,24,4.958333333333333,208654.6,1
4119,214,275,20560,1,BANCO,Pagos Fijos,Préstamo Personal ,60.0,Mensual,8061.0,3/1/17,613920.0,167955.0,612000.0,No,0.0,0.0,12,5.0,483660.0,0
4122,214,275,20560,1,AUTOMOTRIZ,Pagos Fijos,Compra de Automóvil,12.0,Mensual,0.0,10/4/13,92600.0,0.0,92600.0,No,0.0,0.0,12,1.0,92600.0,1
4123,215,135021,66954,1,BANCOS,Pagos Fijos,Préstamo Personal ,12.0,Mensual,0.0,7/3/17,10000.0,0.0,10000.0,No,0.0,0.0,12,1.0,10000.0,1
4129,215,135021,66954,1,FINANCIERA,Pagos Fijos,Préstamo Personal ,52.0,Semanal,356.0,10/10/17,10408.0,8637.0,0.0,No,0.0,0.0,52,1.0,18512.0,0
4139,217,1217,65711,0,SOCIEDAD FINANCIERA DE OBJETO MULTIPLE,Pagos Fijos,Préstamo Personal ,6.0,Catorcenal,0.0,5/25/17,2174.0,0.0,2174.0,No,0.0,0.0,26,0.23076923076923078,2174.0,1
4140,217,1217,65711,0,SOCIEDAD FINANCIERA DE OBJETO MULTIPLE,Pagos Fijos,Préstamo Personal ,6.0,Catorcenal,565.0,5/31/17,2174.0,1493.0,2174.0,9/30/17,3.0,1493.0,26,0.23076923076923078,2986.0,0
4141,217,1217,65711,0,BANCOS,Pagos Fijos,Préstamo Personal ,12.0,Mensual,7086.0,6/2/17,20000.0,21422.0,20000.0,10/10/17,3.0,4058.0,12,1.0,16232.0,0
4143,217,1217,65711,0,SOCIEDAD FINANCIERA DE OBJETO MULTIPLE,Pagos Fijos,Préstamo Personal ,1.0,Mensual,0.0,5/30/17,2500.0,0.0,0.0,No,0.0,0.0,12,0.08333333333333333,2500.0,1
4144,217,1217,65711,0,SOCIEDAD FINANCIERA DE OBJETO MULTIPLE,Pagos Fijos,Préstamo Personal ,1.0,Mensual,5560.0,7/3/17,2500.0,5560.0,0.0,9/30/17,2.0,5560.0,12,0.08333333333333333,2780.0,0
4275,221,7876,13371,1,MICROFINANCIERA,Pagos Fijos,Préstamo Personal ,18.0,Mensual,7158.0,12/19/16,66138.0,60621.0,0.0,No,0.0,0.0,12,1.5,128844.0,0
4277,222,1994,2771,1,MERCANCIA PARA HOGAR Y OFICINA,Pagos Fijos,Préstamo Personal ,80.0,Semanal,211.0,2/20/17,16880.0,15825.0,0.0,No,0.0,0.0,52,1.5384615384615385,16880.0,0
4278,222,1994,2771,1,MERCANCIA PARA HOGAR Y OFICINA,Pagos Fijos,Préstamo Personal ,80.0,Semanal,20.0,2/20/17,1600.0,1500.0,0.0,No,0.0,0.0,52,1.5384615384615385,1600.0,0
4279,222,1994,2771,1,CAJAS DE AHORRO,Pagos Fijos,Préstamo Personal ,36.0,Mensual,0.0,4/13/13,24000.0,0.0,0.0,5/31/14,6.0,1687.0,12,3.0,10122.0,1
4282,222,1994,2771,1,MICROFINANCIERA,Pagos Fijos,Préstamo Personal ,36.0,Mensual,0.0,4/25/11,28000.0,0.0,0.0,No,0.0,0.0,12,3.0,28000.0,1
4364,228,2088,406,0,TIENDA DEPARTAMENTAL,Pagos Fijos,Aparatos - Muebles,12.0,Mensual,0.0,8/20/08,5100.0,0.0,5100.0,No,0.0,0.0,12,1.0,5100.0,1
4365,228,2088,406,0,MICROFINANCIERA,Pagos Fijos,Préstamo Personal ,31.0,Semanal,250.0,10/31/17,4165.0,7246.0,0.0,No,0.0,0.0,52,0.5961538461538461,7750.0,0
4366,228,2088,406,0,FINANCIERA,Pagos Fijos,Préstamo Personal ,12.0,Mensual,790.0,5/23/17,9480.0,8300.0,5000.0,Missing,4.0,4499.0,12,1.0,13497.0,1
4371,228,2088,406,0,BANCO,Hipoteca,Mejoras a la Casa,30.0,Mensual,904.0,3/16/17,16228.0,16228.0,0.0,Missing,1.0,892.0,12,2.5,26760.0,0
4383,230,3607,46975,1,SOCIEDAD FINANCIERA DE OBJETO MULTIPLE,Pagos Fijos,Crédito Personal al Consumo,12.0,Mensual,0.0,2/2/17,39900.0,0.0,26264.0,No,0.0,0.0,12,1.0,39900.0,1
4384,230,3607,46975,1,SOCIEDAD FINANCIERA DE OBJETO MULTIPLE,Pagos Fijos,Crédito Personal al Consumo,18.0,Mensual,3264.0,9/26/17,39900.0,34590.0,39900.0,No,0.0,0.0,12,1.5,58752.0,0
4391,230,3607,46975,1,BANCO,Pagos Fijos,Préstamo Personal ,48.0,Mensual,1905.0,6/1/17,82834.0,39702.0,82834.0,No,0.0,0.0,12,4.0,91440.0,0
4395,231,27063,67808,1,AUTOMOTRIZ,Pagos Fijos,Compra de Automóvil,36.0,Mensual,0.0,12/26/05,222466.0,0.0,0.0,No,0.0,0.0,12,3.0,222466.0,1
4397,231,27063,67808,1,BANCO,Pagos Fijos,Línea de Crédito,36.0,Mensual,2204.0,5/24/16,50000.0,39489.0,0.0,No,0.0,0.0,12,3.0,79344.0,0
4406,231,27063,67808,1,BANCO,Pagos Fijos,Compra de Automóvil,60.0,Mensual,5753.0,6/29/16,252900.0,233381.0,0.0,No,0.0,0.0,12,5.0,345180.0,0
4408,231,27063,67808,1,BANCO,Pagos Fijos,Préstamo Personal ,120.0,Quincenal,697.0,9/15/15,110000.0,85245.0,0.0,No,0.0,0.0,24,5.0,83640.0,0
4411,231,27063,67808,1,BANCO,Pagos Fijos,Préstamo Personal ,60.0,Mensual,4524.0,8/11/16,420000.0,392908.0,0.0,No,0.0,0.0,12,5.0,271440.0,0
4412,231,27063,67808,1,AUTOMOTRIZ,Pagos Fijos,Compra de Automóvil,36.0,Mensual,0.0,4/1/13,221718.0,0.0,221718.0,No,0.0,0.0,12,3.0,221718.0,1
4418,232,1041,1009,1,MERCANCIA PARA HOGAR Y OFICINA,Pagos Fijos,Préstamo Personal ,100.0,Semanal,229.0,7/26/17,22900.0,22442.0,0.0,No,0.0,0.0,52,1.9230769230769231,22900.0,0
4419,232,1041,1009,1,MERCANCIA PARA HOGAR Y OFICINA,Pagos Fijos,Préstamo Personal ,100.0,Semanal,30.0,7/26/17,3000.0,2940.0,0.0,No,0.0,0.0,52,1.9230769230769231,3000.0,0
4420,232,1041,1009,1,BANCOS,Pagos Fijos,Préstamo Personal ,12.0,Mensual,0.0,5/20/15,20001.0,0.0,20001.0,No,0.0,0.0,12,1.0,20001.0,1
4421,232,1041,1009,1,BANCOS,Pagos Fijos,Préstamo Personal ,12.0,Mensual,0.0,5/20/16,30786.0,0.0,0.0,11/23/16,1.0,4655.0,12,1.0,55860.0,1
4422,232,1041,1009,1,BANCOS,Pagos Fijos,Préstamo Personal ,12.0,Mensual,5644.0,4/5/17,45594.0,37438.0,0.0,No,0.0,0.0,12,1.0,67728.0,0
4423,232,1041,1009,1,FINANCIERA,Pagos Fijos,Préstamo Personal ,36.0,Mensual,3952.0,10/18/16,50000.0,50091.0,50000.0,No,0.0,0.0,12,3.0,142272.0,0
4424,232,1041,1009,1,FINANCIERA,Pagos Fijos,Préstamo Personal ,12.0,Mensual,0.0,4/29/16,49150.0,0.0,49150.0,No,0.0,0.0,12,1.0,49150.0,1
4425,232,1041,1009,1,FINANCIERA,Pagos Fijos,Préstamo Personal ,24.0,Mensual,0.0,2/17/15,40000.0,0.0,40000.0,No,0.0,0.0,12,2.0,40000.0,1
4426,232,1041,1009,1,FINANCIERA,Pagos Fijos,Préstamo Personal ,18.0,Mensual,0.0,8/22/14,18000.0,0.0,18000.0,No,0.0,0.0,12,1.5,18000.0,1
4513,241,109,3576,1,BANCO,Pagos Fijos,Compra de Automóvil,12.0,Mensual,0.0,12/1/16,162158.0,0.0,162158.0,No,0.0,0.0,12,1.0,162158.0,1
4534,243,2028,3382,0,BANCO,Pagos Fijos,Préstamo Personal ,1.0,Mensual,376.0,5/3/17,3024.0,3076.0,3024.0,No,0.0,0.0,12,0.08333333333333333,376.0,0
4535,243,2028,3382,0,BANCO,Pagos Fijos,Préstamo Personal ,1.0,Mensual,171.0,3/22/17,1048.0,1071.0,1048.0,No,0.0,0.0,12,0.08333333333333333,171.0,0
4537,243,2028,3382,0,BANCO,Pagos Fijos,Préstamo Personal ,1.0,Mensual,0.0,5/25/16,1048.0,0.0,1048.0,No,0.0,0.0,12,0.08333333333333333,1048.0,1
4538,243,2028,3382,0,BANCO,Pagos Fijos,Préstamo Personal ,1.0,Mensual,0.0,2/25/16,895.0,0.0,895.0,No,0.0,0.0,12,0.08333333333333333,895.0,1
4539,243,2028,3382,0,BANCO,Pagos Fijos,Préstamo Personal ,1.0,Mensual,0.0,9/10/15,1048.0,0.0,1048.0,No,0.0,0.0,12,0.08333333333333333,1048.0,1
4540,243,2028,3382,0,BANCO,Pagos Fijos,Préstamo Personal ,1.0,Mensual,0.0,5/25/15,895.0,0.0,895.0,No,0.0,0.0,12,0.08333333333333333,895.0,1
4541,243,2028,3382,0,BANCO,Pagos Fijos,Préstamo Personal ,1.0,Mensual,0.0,12/16/14,1048.0,0.0,1048.0,No,0.0,0.0,12,0.08333333333333333,1048.0,1
4542,243,2028,3382,0,BANCO,Pagos Fijos,Préstamo Personal ,1.0,Mensual,0.0,1/24/15,501.0,0.0,501.0,No,0.0,0.0,12,0.08333333333333333,501.0,1
4543,243,2028,3382,0,BANCO,Pagos Fijos,Préstamo Personal ,1.0,Mensual,0.0,12/27/14,1680.0,0.0,1680.0,No,0.0,0.0,12,0.08333333333333333,1680.0,1
4544,243,2028,3382,0,BANCO,Pagos Fijos,Préstamo Personal ,1.0,Mensual,0.0,12/24/14,874.0,0.0,874.0,No,0.0,0.0,12,0.08333333333333333,874.0,1
4545,243,2028,3382,0,BANCO,Pagos Fijos,Préstamo Personal ,1.0,Mensual,0.0,12/23/14,2421.0,0.0,2421.0,No,0.0,0.0,12,0.08333333333333333,2421.0,1
4546,243,2028,3382,0,BANCO,Pagos Fijos,Préstamo Personal ,1.0,Mensual,0.0,4/7/15,1048.0,0.0,1048.0,No,0.0,0.0,12,0.08333333333333333,1048.0,1
4547,243,2028,3382,0,BANCO,Pagos Fijos,Préstamo Personal ,1.0,Mensual,0.0,12/23/14,629.0,0.0,629.0,No,0.0,0.0,12,0.08333333333333333,629.0,1
4548,243,2028,3382,0,BANCO,Pagos Fijos,Préstamo Personal ,1.0,Mensual,0.0,10/30/14,2421.0,0.0,2421.0,No,0.0,0.0,12,0.08333333333333333,2421.0,1
4549,243,2028,3382,0,BANCO,Pagos Fijos,Préstamo Personal ,1.0,Mensual,0.0,10/30/14,873.0,0.0,873.0,No,0.0,0.0,12,0.08333333333333333,873.0,1
4550,243,2028,3382,0,BANCO,Pagos Fijos,Préstamo Personal ,1.0,Mensual,0.0,6/4/14,1429.0,0.0,1429.0,No,0.0,0.0,12,0.08333333333333333,1429.0,1
4551,243,2028,3382,0,BANCO,Pagos Fijos,Préstamo Personal ,1.0,Mensual,0.0,11/22/13,1429.0,0.0,1429.0,No,0.0,0.0,12,0.08333333333333333,1429.0,1
4552,243,2028,3382,0,BANCO,Pagos Fijos,Préstamo Personal ,1.0,Mensual,0.0,10/7/13,1114.0,0.0,1114.0,No,0.0,0.0,12,0.08333333333333333,1114.0,1
4660,248,4020,3834,0,COMPANIA DE PRESTAMO PERSONAL,Pagos Fijos,Préstamo Personal ,6.0,Mensual,0.0,5/9/13,3300.0,0.0,0.0,No,0.0,0.0,12,0.5,3300.0,1
4661,248,4020,3834,0,COMPANIA DE PRESTAMO PERSONAL,Pagos Fijos,Préstamo Personal ,6.0,Mensual,0.0,10/11/13,3300.0,0.0,0.0,No,0.0,0.0,12,0.5,3300.0,1
4662,248,4020,3834,0,COMPANIA DE PRESTAMO PERSONAL,Pagos Fijos,Préstamo Personal ,6.0,Mensual,0.0,3/1/14,4590.0,0.0,0.0,No,0.0,0.0,12,0.5,4590.0,1
4663,248,4020,3834,0,TIENDA DEPARTAMENTAL,Pagos Fijos,Aparatos - Muebles,12.0,Mensual,1754.0,11/11/11,1754.0,1754.0,7203.0,1/31/17,13.0,1754.0,12,1.0,1619.0769230769233,0
4664,248,4020,3834,0,SERVICIO DE TELEVISION DE PAGA,Pagos Fijos,Línea de Crédito,1.0,Mensual,1462.0,7/3/15,1164.0,1462.0,1164.0,10/31/17,10.0,1462.0,12,0.08333333333333333,146.2,0
4665,248,4020,3834,0,TIENDA DEPARTAMENTAL,Pagos Fijos,Línea de Crédito,18.0,Mensual,4674.0,7/28/13,4674.0,4674.0,7203.0,1/31/15,13.0,4674.0,12,1.5,6471.692307692308,0
4668,248,4020,3834,0,TIENDA COMERCIAL,Pagos Fijos,Préstamo Personal ,18.0,Mensual,0.0,7/28/13,4674.0,0.0,5523.0,No,0.0,0.0,12,1.5,4674.0,1
4713,253,11798,87429,0,MERCANCIA PARA HOGAR Y OFICINA,Pagos Fijos,Préstamo Personal ,100.0,Semanal,702.0,7/1/17,23400.0,22243.0,0.0,8/12/17,2.0,468.0,52,1.9230769230769231,23400.0,0
4716,253,11798,87429,0,SERVICIOS,Sin Límite Preestablecido,Otros (Múltiples Créditos),1.0,Mensual,231.0,1/30/16,344.0,231.0,740.0,No,0.0,0.0,12,0.08333333333333333,231.0,0
4717,254,8250,3172,0,SERVICIO DE TELEVISION DE PAGA,Pagos Fijos,Línea de Crédito,18.0,Mensual,476.0,8/17/16,476.0,476.0,0.0,No,0.0,0.0,12,1.5,8568.0,0
4718,254,8250,3172,0,ADMINISTRADORAS DE CARTERA,Pagos Fijos,Préstamo Personal ,1.0,Mensual,249.0,4/24/16,249.0,249.0,249.0,4/30/16,13.0,249.0,12,0.08333333333333333,19.153846153846153,0
4719,254,8250,3172,0,MICROFINANCIERA,Pagos Fijos,Grupo Solidario,16.0,Semanal,5416.0,12/2/11,82800.0,5416.0,82800.0,9/23/16,91.0,5416.0,52,0.3076923076923077,952.2637362637363,0
4731,256,5386,11244,1,AUTOMOTRIZ,Pagos Fijos,Compra de Automóvil,60.0,Mensual,0.0,4/19/12,4138.0,0.0,0.0,No,0.0,0.0,12,5.0,4138.0,1
4732,256,5386,11244,1,BANCO,Pagos Fijos,Préstamo Personal ,10.0,Catorcenal,0.0,12/30/11,5005.0,0.0,0.0,No,0.0,0.0,26,0.38461538461538464,5005.0,1
4733,256,5386,11244,1,BANCO,Pagos Fijos,Préstamo Personal ,10.0,Catorcenal,0.0,9/7/11,5005.0,0.0,0.0,No,0.0,0.0,26,0.38461538461538464,5005.0,1
4734,256,5386,11244,1,BANCO,Pagos Fijos,Préstamo Personal ,10.0,Catorcenal,0.0,2/24/11,5005.0,0.0,0.0,No,0.0,0.0,26,0.38461538461538464,5005.0,1
4819,260,433,297,1,TIENDA DEPARTAMENTAL,Pagos Fijos,Aparatos - Muebles,12.0,Mensual,0.0,11/12/05,15300.0,0.0,15300.0,No,0.0,0.0,12,1.0,15300.0,1
4820,260,433,297,1,TIENDA DEPARTAMENTAL,Pagos Fijos,Aparatos - Muebles,12.0,Mensual,0.0,1/2/06,15300.0,0.0,15300.0,No,0.0,0.0,12,1.0,15300.0,1
4821,260,433,297,1,TIENDA DEPARTAMENTAL,Pagos Fijos,Aparatos - Muebles,12.0,Mensual,0.0,8/24/08,15300.0,0.0,15300.0,No,0.0,0.0,12,1.0,15300.0,1
4942,265,8528,3216,0,TIENDA COMERCIAL,Pagos Fijos,Aparatos - Muebles,1.0,Mensual,4954.0,2/28/16,4954.0,4954.0,4954.0,Missing,21.0,4954.0,12,0.08333333333333333,235.9047619047619,0
4943,265,8528,3216,0,TIENDA COMERCIAL,Pagos Fijos,Aparatos - Muebles,1.0,Mensual,1088.0,2/27/16,1088.0,1088.0,1088.0,Missing,21.0,1088.0,12,0.08333333333333333,51.80952380952381,0
4948,265,8528,3216,0,BANCO,Pagos Fijos,Préstamo Personal ,18.0,Mensual,0.0,11/26/13,20000.0,0.0,0.0,No,0.0,0.0,12,1.5,20000.0,1
4968,268,25349,47337,1,BANCO,Pagos Fijos,Préstamo Personal ,5.0,Quincenal,383.0,10/7/15,24200.0,16245.0,0.0,No,0.0,0.0,24,0.20833333333333334,1915.0,0
4972,268,25349,47337,1,AUTOMOTRIZ,Pagos Fijos,Compra de Automóvil,48.0,Mensual,4010.0,9/18/15,91141.0,91141.0,175208.0,No,0.0,0.0,12,4.0,192480.0,0
4975,268,25349,47337,1,COMUNICACIONES,Sin Límite Preestablecido,Línea de Crédito,1.0,Mensual,0.0,11/12/16,225.0,0.0,0.0,No,0.0,0.0,12,0.08333333333333333,225.0,1
4978,268,25349,47337,1,TIENDA COMERCIAL,Pagos Fijos,Línea de Crédito,7.0,Mensual,0.0,3/6/14,2506.0,0.0,6000.0,No,0.0,0.0,12,0.5833333333333334,2506.0,1
4983,269,105763,379769,1,SERVICIOS,Sin Límite Preestablecido,Otros (Múltiples Créditos),1.0,Mensual,0.0,7/15/14,114.0,0.0,0.0,No,0.0,0.0,12,0.08333333333333333,114.0,0
4985,269,105763,379769,1,BANCO,Pagos Fijos,Préstamo Personal ,119.0,Quincenal,0.0,3/7/17,87500.0,0.0,0.0,No,0.0,0.0,24,4.958333333333333,87500.0,1
4995,270,19855,53304,0,TIENDA DEPARTAMENTAL,Pagos Fijos,Aparatos - Muebles,12.0,Mensual,0.0,10/29/05,20400.0,0.0,20400.0,No,0.0,0.0,12,1.0,20400.0,1
4996,270,19855,53304,0,TIENDA DEPARTAMENTAL,Pagos Fijos,Aparatos - Muebles,12.0,Mensual,0.0,8/29/06,20400.0,0.0,20400.0,No,0.0,0.0,12,1.0,20400.0,1
4997,270,19855,53304,0,TIENDA DEPARTAMENTAL,Pagos Fijos,Aparatos - Muebles,12.0,Mensual,0.0,8/29/06,20400.0,0.0,20400.0,No,0.0,0.0,12,1.0,20400.0,1
4998,270,19855,53304,0,TIENDA DEPARTAMENTAL,Pagos Fijos,Aparatos - Muebles,12.0,Mensual,0.0,7/30/07,20400.0,0.0,20400.0,No,0.0,0.0,12,1.0,20400.0,1
4999,270,19855,53304,0,TIENDA DEPARTAMENTAL,Pagos Fijos,Aparatos - Muebles,12.0,Mensual,0.0,8/4/07,20400.0,0.0,20400.0,No,0.0,0.0,12,1.0,20400.0,1
5000,270,19855,53304,0,TIENDA DEPARTAMENTAL,Pagos Fijos,Aparatos - Muebles,12.0,Mensual,0.0,3/7/09,20400.0,0.0,20400.0,No,0.0,0.0,12,1.0,20400.0,1
5001,270,19855,53304,0,TIENDA DEPARTAMENTAL,Pagos Fijos,Aparatos - Muebles,12.0,Mensual,0.0,5/31/09,20400.0,0.0,20400.0,No,0.0,0.0,12,1.0,20400.0,1
5002,270,19855,53304,0,TIENDA DEPARTAMENTAL,Pagos Fijos,Aparatos - Muebles,12.0,Mensual,0.0,12/31/09,20400.0,0.0,20400.0,No,0.0,0.0,12,1.0,20400.0,1
5003,270,19855,53304,0,TIENDA DEPARTAMENTAL,Pagos Fijos,Aparatos - Muebles,12.0,Mensual,9687.0,2/11/12,9687.0,9687.0,28812.0,1/31/17,13.0,9687.0,12,1.0,8941.846153846154,0
5004,270,19855,53304,0,BANCOS,Pagos Fijos,Préstamo Personal ,10.0,Catorcenal,0.0,8/31/15,6005.0,0.0,6005.0,No,0.0,0.0,26,0.38461538461538464,6005.0,1
